parent_asin,product_title,store,main_category,price_tier,total_reviews,unique_reviewers,avg_rating,rating_stddev,positive_reviews,negative_reviews,neutral_reviews,satisfaction_rate,negative_rate,avg_review_length,detailed_reviews,verified_purchases,verified_rate,avg_helpful_votes,first_review_date,last_review_date,review_span_days,sample_reviews
B00N2ZDXW2,"Ring Video Doorbell (1st Gen) – 720p HD video, motion activated alerts, easy installation – Satin Nickel",Ring,Amazon Devices,Unknown,26953,26681,4.22,1.33,21570,3992,1391,80.03,14.81,335.73,12764,13703,50.84,1.36,2015-01-05,2023-06-30,3098,"[5 stars] Love love love his security system. Easy you charge and install. Set up was a breeze. Video is clear and effective for seeing around the yard and anyone who comes up the door. Highly recommended for each entry/exit door. | [5 stars] Love it. It’s version 1 of the Ring Doorbells, theres not much of a difference besides the quality and style. The quality is just a bit different not a drastic change. | [5 stars] I own a house in the Florida Keys where I live part of the year.  The front is hard to see and I don't always want to go downstairs to see who's there. I wanted something to use for when people come to the door. The ring is perfect for that. In addition when I am in New Mexico I can keep an eye on my Keys house. My neighbor there who is taking care of it, can simply ring and we can talk.. I am very happy with this Ring. I highly recommend it !! | [1 stars] I bought 2 ring doorbells, but will never buy one again.<br /><br />The camera on one of the doorbells went out and the system will not let me reinstall it. I need a code to reinstall the doorbell and camera, and I cannot get it from company.<br /><br />Now my ring doorbell is worthless. Don't buy this product. | [5 stars] Bought for business while shut down over virus have paid for themselves already I can be at home call the ring talk to people casing the business and tell them to leave police on the way. Great device easy to setup and use"
B00L0YLRUW,"NETGEAR Wi-Fi Range Extender EX2700 - Coverage Up to 800 Sq Ft and 10 devices with N300 Wireless Signal Booster & Repeater (Up to 300Mbps Speed), and Compact Wall Plug Design",NETGEAR,Computers,Premium ($50-100),26610,26357,3.94,1.52,19060,5771,1779,71.63,21.69,184.69,7585,25185,94.64,0.79,2014-09-03,2023-07-31,3253,[1 stars] This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me. | [5 stars] Pretty sweet little device! Highly suggested if you have a free power outlet ! rEALLY EASY TO SYNC WITH YOUR ROUTER AND REALLY GREAT USE FOR EXPANDING THE WIFI AROUND THE HOUSE! | [5 stars] This NetGear Extender brought our bedrooms into the WiFi world. With this extender we can now access our WiFi network in our bedrooms. Before our bedrooms were to far away from our modem to even get on the network. We now have a full signal in everyone of our bedrooms. Setup was very easy and with the ease of plugging the extender into a regular electrical outlet there are no wires to run and it isn't huge or unattractive. I am very happy with this NetGear Extender. | [5 stars] Fabulous Netgear Extender<br /><br />By Bee<br /><br /> 12345<br /><br />I have a L shaped house with the router in the West end and my TV in the South East end making it difficult to get coverage in that area. The Netgear extender gives me great coverage with no hesitations. Thank you Netgear. | [5 stars] Saves me a lot of frustration when I am listening to music in the back part of the house!
B092HSPZJ3,Nulaxy Bluetooth Car FM Transmitter Audio Adapter Receiver Wireless Handsfree Voltmeter Car Kit TF Card AUX 1.44 Display – KM18 Peacock Blue,Nulaxy,Cell Phones & Accessories,Budget (<$20),26401,26109,4.32,1.2,21823,2928,1650,82.66,11.09,201.33,8662,25673,97.24,0.54,2015-12-11,2023-09-06,2826,"[5 stars] Given to my stepdaughter. They have an old 1990 car and this thing worked like magic. They took a road trip to Big Sur in California and it made their experience so much better.<br />You can’t go wrong with this, especially for the price. I was anxious that it was going to sound like crap or not work in general, but it’s easy to use and the big screen is great. No more tapes and boring radio! So if this can work in a 30 year old car, it can work in any car.<br />Definitely recommend. | [5 stars] Absolutely amazing. I don't have an audio jack in my car so I've been searching all over for a decent music player. This one beats all. 10/10. AWESOME sound quality (like seriously, better than my regular speakers), perfect bluetooth connectivity with no issues whatsoever (even driving several hours straight it is just a constant stream of music). I've bought several of these for friends and family and I HIGHLY recommend it!!! | [5 stars] This thing is life changing if you have an older vehicle. Amazing. | [5 stars] Very easy to use and I am definitely not the most tech savvy person. Soud quality is very good for both music and phone calls. | [5 stars] Works perfectly. Just what I looking for after aux port broke on car."
B07TMJ8S5Z,"Amazon Fire HD 8 tablet, 8"" HD display, 64 GB, (2020 release), designed for portable entertainment, Black",Amazon,Amazon Devices,Luxury ($100+),26120,25779,4.26,1.24,20941,3213,1966,80.17,12.3,169.18,6665,25490,97.59,0.39,2020-06-04,2023-08-21,1173,"[5 stars] It works extremely well.  It was a gift, and I love it! | [5 stars] Decent graphics. I am still learning how to use it. If you already know, I recommend this. | [5 stars] So far I've set up and linked it to other devices, but need to check instructions for use. Have not done much with it yet. | [5 stars] I gave this as a Christmas gift to my Dearest friend. He is very happy to learn how to set it up, and with my experience with my Fire tablet, I can help him! | [1 stars] It is very very difficult to chat with a customer service representative online and to block emails! Also to delete photos and delete emails from the sent and trash space! Some of the customer service representatives on the phone are rude and not very helpful at all. They think everyone that talks to them are a computer genius. They talk computer lingo which some beginners do not understand."
B0BGNG1294,"Amazon Basics HDMI Cable, 18Gbps High-Speed, 4K@60Hz, 2160p, Ethernet Ready, 10 Foot, Black",Amazon Basics,Home Audio & Theater,Budget (<$20),24918,24662,4.59,1.01,22463,1709,746,90.15,6.86,83.09,2466,23645,94.89,0.29,2015-12-11,2023-08-30,2819,"[5 stars] Perfect to take to court to connect so I can show my PowerPoint. | [5 stars] These cables are high quality and provide an excellent signal.<br />I recommend this product. | [5 stars] worked perfectly. just what I wanted. The cable is well made and plenty long enough to reach everything it needs to. | [5 stars] Superb picture quality with cables that don't cost a lot. | [5 stars] Let's see... I plug my device into my tv using this cable, and it works. Ok, then 5 stars.<br /><br />A little more seriously, I really like the Amazon Basics stuff. They seem to be producing good quality stuff at very reasonable prices."
B07VTK654B,Echo Auto (1st gen) - Hands-free Alexa in your car with your phone,Amazon,Amazon Devices,Mid ($20-50),24837,24592,3.5,1.59,14212,7490,3135,57.22,30.16,258.64,9422,23545,94.8,0.52,2019-09-30,2023-05-18,1326,"[5 stars] Love that I can turn my lights on , unlock my door or anything else...from my car. | [1 stars] What a piece of junk, has never worked, tried everything possible. Too late for a refund.<br />This is the only Amazon product I have bought that failed me. Simply wont connect to the car or my truck via Bluetooth | [5 stars] It works great most of the time unless it cannot connect to my phone | [5 stars] Wife loves alexa and wife loves alexa in the car.  She would rather talk to alexa than me. | [5 stars] The only thing I  don't like  is that it's not made for my car's vent  other than that it's like  being at home with Alexa"
B08RLW7918,WYZE Cam v2 - White,WYZE,Camera & Photo,Unknown,24748,24247,4.15,1.42,19210,4210,1328,77.62,17.01,241.94,9133,23760,96.01,0.97,2017-10-30,2023-08-22,2122,"[5 stars] Definitely worth the price! Works great for a baby monitor. If the twins are a sleep and I have to leave the room for a moment. This is the best way to keep an eye on them. | [5 stars] This is my second Wyze cam, and I absolutely love them besides being a fantastic company, there cameras rock!and that's from a ""Wyze"" Woman. | [5 stars] Easy to install, and not too expensive, these cameras allow you to monitor the indoor of your home from a distance. I use them to check on my dog when I am at work, and they provide peace of mind. | [5 stars] What a deal. I am impressed by this little camera! Great motion detection, awesome picture its better and cheaper than my Ring cameras and less expensive to use. I figured this gem out and could not be happier. | [5 stars] I have 4 of them and they are amazing! I use them inside and outside. Besides the newest software update, best camera ever! They do everything I could ever ask for and more!"
B0935ZDCYD,"Anker Soundcore Bluetooth Speaker with 24-Hour Playtime, 66-Feet Bluetooth Range & Built-in Mic, Dual-Driver Portable Wireless Speaker with Low Harmonic Distortion and Superior Sound - Blue",Anker,Home Audio & Theater,Mid ($20-50),23170,22924,4.52,1.02,20445,1658,1067,88.24,7.16,204.79,7345,22428,96.8,0.57,2015-11-28,2023-09-04,2837,"[5 stars] Easy to use - great battery life - pretty good sound for such a small speaker!  What else could you want??  Definitely worth the money. | [5 stars] This Bluetooth speaker is the best I’ve ever run across!  My son bought one, and I as SO impressed that I bought one, too!  I use it with 2 iPad mini’s and my iPhone XR, and my son uses it on his Android phone, with the same great results. The charge lasts forever and the quality is amazing!! {And no, I am NOT being paid for this review. What you read is what I mean.} Given the quality of this speaker, the price is incredible! | [5 stars] Gave to son for Christmas and heard it all the time. Sounds great. | [5 stars] Really great speaker! Battery lasts! Really great purchase. | [5 stars] Shockingly good speaker for the price! Doesn’t go super loud without distorting a little, but loud enough to hear in two rooms at a time or in the shower without distorting— would totally buy again for the price."
B075JZNHTD,"Fire TV with 4K Ultra HD and 1st Gen Alexa Voice Remote, streaming media player",Amazon,Amazon Devices,Unknown,22311,22052,4.07,1.4,16630,3908,1773,74.54,17.52,173.07,5477,21613,96.87,1.15,2017-10-27,2023-06-10,2052,"[5 stars] We love our FireTv! It works great, easy to navigate, and a great value! | [5 stars] Love the ease of this system, I had an older Roku, Sort of the Dark ages, And I am in the  New Age now. Thank you so much | [5 stars] Had it just a few weeks but really enjoying it. I like that I have all the apps I want in there, so I can watch my tv shows from CBS and AMC. I cancelled cable a long time ago and was considering getting it back but now that I have this there is no question I am not going back to cable. This gives me everything I wanted. | [5 stars] Exactly what it say's it does.  I need to get a few more brain cells to get it all figured out, but so far so good! | [5 stars] Definitely a great benefit to being a Prime member."
B08F9ZCTCL,"Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",Amazon,Amazon Devices,Budget (<$20),21811,21585,4.38,1.24,18227,2523,1061,83.57,11.57,110.52,3227,21348,97.88,0.25,2020-09-30,2023-09-01,1066,"[5 stars] Stopped working in less than o month. Amazon was not helpful in getting replacement wanted me to send it back for repair even though it was listed for return for another month. Bad bad customer service | [5 stars] This is awesome!!! Staying in RV for 2 months and we are so happy we got this!!! | [5 stars] I am hooked up at night to a C-Pap machine. My tv is not hooked up to a cable box, so I don’t have a remote control. I love having the Firestick to change channels, and it’s very easy to use. | [5 stars] Purchased this for my dad and he loves it. Easy to use and has so many great streaming options. The price was a plus. I plan on purchasing another one for myself. Definitely recommend! | [5 stars] I like that this new one that I just bought has voice recognition. I have not had any issues with speaking directions yet. My other Amazon fire stick was messing up and this one has been great so far."
B0C3NMZ2C7,"Fire TV Stick 4K, brilliant 4K streaming quality, TV and smart home controls, free and live TV",Amazon,Amazon Devices,Mid ($20-50),21673,21460,4.44,1.21,18515,2335,823,85.43,10.77,127.35,3892,21411,98.79,0.5,2021-10-12,2023-09-07,695,"[5 stars] I had the regular firestick before and this 4k version is soooo much better | [5 stars] Love the upgrade and so easy to set up..much faster to move within the app too.  I use it to load the peloton app in our spare room.  I use the wall socket to power up the dongle,,and no longer use a separate power dongle. | [5 stars] I like this product but I’m dumbfounded by the continuing audio lag. | [5 stars] I just love the Fire TV Stick, good bye cable and the $220+ bills.  I watch more what I want to watch without the commercials.  What a relief especially with the elections right around the corner.  It's easy to learn to use and I'm a senior!  Yes, you need a little patience when streaming but it's so worth it.  Enjoy!!! | [5 stars] I like the crisp colors on my TV now. The sound is great and it works well with all my TV apps. I like the fact that this remote also has volume control. The one I had before didn't. I recommend"
B000WYVBR0,VideoSecu ML531BE2 TV Wall Mount kit with Free Magnetic Stud Finder and HDMI Cable for Most 26-55 TV and New LED UHD TV up to 60 inch 400x400 Full Motion with 20 inch Articulating Arm WT8,VideoSecu,All Electronics,Mid ($20-50),21325,21130,4.58,0.93,19263,1188,874,90.33,5.57,187.27,6192,20651,96.84,0.5,2008-08-31,2023-08-24,5471,"[5 stars] I am very happy with this TV wall Mount. It works perfectly for the area I purchased it for, it can be moved to many different angles including tipping slightly downward. It was VERY easy to attach to my wall, and also attach to TV to it. I did it myself, and I am a 68 yr old great grandmother. Thanks for a great product! | [5 stars] I bought a few of these to install TV's of various sizes.  The largest is 42"" and went up without a hitch.  I highly recommend it - very easy to do by yourself (on smaller TVs) and no complaints at all. | [5 stars] I HAVE 7 RENTAL HOMES I BOUGHT TOTAL OF 8 OF THESE OVER THE LAST 4 YEARS<br />GREAT FIT. LOVE ARITCULATING FEATURE, SO MUCH EASIER TO ATTACH EXTRAS. NEVER BUY ANOTHER FLAT MOUNT TV WALL MOUNT. THIS ONE OR NEXT SIZE UP ONLY | [5 stars] Great wallmount. Not extremely difficult to install. Did take 2 people. It's holding up well and I still really like it! | [5 stars] great mount, easy to use, make sure you mount your tv on a stud when mounting it on a wall though!!"
B08F6GPRH6,"Blink Whole Home Bundle | Video Doorbell System, Outdoor camera, and Mini camera | HD video, motion detection, Works with Alexa",Blink,Amazon Devices,Luxury ($100+),21015,20756,3.1,1.69,9738,8796,2481,46.34,41.86,344.26,11009,15796,75.17,1.82,2020-09-18,2023-09-03,1080,"[5 stars] We purchased these to put inside - which we normally wouldn't do - but we are selling remotely.  Wish they would develop these in a white color (not just the ""inside"" version) - but we are firm Blink supporters.  We have 2 full systems and as long as you have wifi connection, they work well - no monthly fees.  I will say - keep in mind - each of your systems is limited to 10 cameras total. | [5 stars] I don’t understand people complaining about $10 a month!! I have 4 cameras that I can change the settings on at any time.  Check my home inside and out.  I think it’s the best deal around!! | [5 stars] Great product. Can keep an eye on things while away.  I have 5 cameras. I am now buying another set for outdoors.  I have dogs & can keep an eye out. | [5 stars] We have a family compound and all our homes have these outside. You definitely need these in this dangerous day and age! Dont be caught off guard! | [1 stars] STOP- THIS IS NOT WHAT YOU MAY THINK IT IS. After the 30 days free trial, your cameras will no longer record events to review UNLESS YOU PAY 100.00+  A YEAR FOR A SUBSCRIPTION.  WITHOUT A PAID subscription.. if at 2 pm someone is on your back deck taking your grill and you sleep through it... you will have NO RECORDED FOOTAGE. YOU CAN NOT GO BACK AND SEE WHAT HAPPENED."
B0BGS23YKX,"JSAUX USB-C to USB A Cable 3.1A Fast Charging [2-Pack 6.6ft], USB Type C Charger Cord Compatible with Samsung Galaxy S10 S9 S8 S20 Plus A51 A12 A11, Note 10 9 8, PS5 Controller USB C Charger-Green",JSAUX,All Electronics,Budget (<$20),20621,20384,4.46,1.2,17642,2268,711,85.55,11.0,105.49,2904,19835,96.19,0.36,2017-11-08,2023-09-03,2125,"[5 stars] My husband needed this for a special charger and reports it works exactly as it should. | [1 stars] Already had one go bad on me after three weeks of use. It no longer fast charges and it takes forever for anything to finish. I just can't seem to find a cable that will hold up. | [5 stars] Strong cables, great value and works fine in charging my android up quickly and consistently! Plenty long enough for charging and watching at the same time! | [5 stars] This charger is so fast! 3 to 4 times faster than my Samsung phone cord. Also like the long cord. | [5 stars] I am getting the last cord out of the box and thought I'd update my review..I see I never did review, but need to.<br />I bought this 3 pack of charger cords in December 2019! Yes 3 years ago and I am just getting the 3rd cord out, and I have to say I'm very hard on cords. I travel alot, grandkids and dogs keep things busy and falling, charger cables get put to the test, but these pass every test. The length is great too.<br />I recommend these and will buy more for sure!"
B08YF1VBYD,"DOSS Bluetooth Speaker, SoundBox Touch Portable Wireless Speaker with 12W HD Sound and Bass, IPX5 Water-Resistant, 20H Playtime, Touch Control, Handsfree, Speaker for Home, Outdoor, Travel-Black",DOSS,All Electronics,Mid ($20-50),20498,20320,4.34,1.22,16954,2361,1183,82.71,11.52,168.22,5332,19695,96.08,0.84,2016-04-13,2023-09-07,2703,"[5 stars] Got this for my wife to stream music from her Kindle. Wow, the sound is remarkably excellent. With all speakers like this, you have remember to raise the volume on the master audio source, which for us was the Kindle.  To achieve the rich, full sound, make sure the source volume is up enough to drive speaker. | [5 stars] I love this speaker, especially for the price!  I have a couple Marley speakers but I wanted something for camping that was durable , inexpensive and portable.  This speaker here fits all these needs and more.  I likely would not have spent $150+ on a Marley speaker had I bought this one first.  This being said, I am unable to comment on the longevity of the speaker life since it's relatively new to me and I've yet to give it a full work out. | [5 stars] I am very pleased with this speaker.  It holds a charge forever.  Has awesome sound and super easy to link up with my blue tooth.  I would definitely recommend it! | [5 stars] Gives a weird beeping noise when power is low. The blue circle on top is the volume control. If one touches a certain angle, the sound stops. But no complaints. | [1 stars] Bought this to use with Alexa but now it won’t pair.  Very disappointing!"
B01BRWH8G8,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Magenta - with Special Offers (Previous Generation - 6th)",Amazon,Amazon Devices,Unknown,20108,19928,4.26,1.23,16201,2409,1498,80.57,11.98,204.61,5743,19682,97.88,1.14,2016-09-23,2023-04-09,2389,"[5 stars] LOVE THIS!! And for the price, you can't afford NOT to have one! It has everything you need and now that I'm in my 50s, I like the larger screen (8&#34;). My sister has the one with Alexa built in, which she loves, but I don't miss it. Even the ads which pop up when you turn it on isn't an issue, it's just a swipe and you get right in. I watch movies, play games, check email, order more stuff ;), etc. on mine. My sister uses hers as an additional &#34;computer&#34; from her work laptop. | [5 stars] Great purchase.  Price was great and it works wonderfully.  Very happy I bought this to replace my Samsung Galaxy Tablet. | [5 stars] I was looking for a tablet to update my kindle and this is perfect!  The size is just right, the colors are bright, and it works well with my Amazon Prime account.  The best thing was the price, you can't beat it for this device. | [1 stars] Worst fire tabI ever bought. This one freezes, turns off. Would not recommend | [5 stars] I I received this New Fire HD 8 Tablet as a Christmas gift, and I must say that I am very pleased with it!  It was very easy to set up, and has been working great! I have had no problems with it thus far.  It seems like a really awesome Tablet!"
B0BR3MLGZZ,"Stylus Pen for iPad 9th&10th Generation-2X Fast Charge Active Pencil Compatible with 2018-2023 Apple iPad Pro11&12.9 inch, iPad Air 3/4/5,iPad 6-10,iPad Mini 5/6 Gen-Orange",JAMJAKE,All Electronics,Mid ($20-50),20030,19740,4.66,0.81,18924,792,314,94.48,3.95,126.4,3291,19657,98.14,0.52,2020-02-16,2023-09-03,1295,"[5 stars] So far it’s been working perfectly. I can’t wait to do more intricate drawings as I continue to learn how to use it best! | [5 stars] SET WAS SO SIMPLE AND IT JUST WHAT I NEEDED, MINUS THE PRICE OF A NAME BRAND AIR PEN! I’M SO HAPPY I PURCHASED IT! | [5 stars] Easy instructions!  Well made/construction quality materials. Ease of use. Comes with an extra fine nib for writing in smaller areas. | [5 stars] I had bought an actual Apple Pencil and it barely worked. It would miss marks consistently and wasn’t consistent. After having it for a year and it breaking, I decided I wanted something cheaper that does the same thing and what I recieved was this amazing pencil! It’s flawless when writing notes and it’s smooth. It has a sensor on the top to turn on and off and charged with a cord. Doesn’t take long to charge at all. Awesome product I’m satisfied! Thankyou! | [5 stars] Don’t waste $ on Apple $200 pen this is just as good fills purpose. Battery last long time and works just same!"
B01M3ULMWP,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 16 GB, Marine Blue - with Special Offers (Previous Generation – 7th)",Amazon,Amazon Devices,Unknown,20014,19830,4.14,1.32,15385,2964,1665,76.87,14.81,201.48,5847,19535,97.61,1.12,2017-06-09,2023-05-27,2178,"[1 stars] No Bluetooth?  What doesn’t have Bluetooth these days,  I realize this was a cheap tablet but come on. | [5 stars] This is the very best gift I have ever received!  My vision is increasingly impaired.  My Fire blows up print so I can actually read books, it will read to me as well.<br />I am only just getting into taking advantage of everything it offers.<br />It retains power for very long periods of use.  I love it! | [5 stars] The fire is great. I can tell Alexa to have it connect to my headphones and it happens | [5 stars] I think it is wonderful.  My husband (82 years old) is having some difficulty getting familiar with the kindle book with audio.  He will get it, I think.  It is a bit different than his older Kindle Fire. | [1 stars] Really, really slow to load every single page. Its really cheap and i regret wasting what little money i spent."
